[2026-03-24T04:54:08.954Z] Server started/reloaded
[2026-03-24T04:55:43.451Z] Server started/reloaded
[2026-03-24T05:12:55.201Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.202Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:12:55.209Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.210Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.228Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.230Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.234Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.242Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.245Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.259Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.261Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.273Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.298Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.299Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.318Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.347Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.348Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.360Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.361Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.395Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.396Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.429Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.463Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.464Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:12:55.483Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:10.225Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:13:10.228Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:10.229Z] [REQUEST] GET /api/admin/resident-entries
[2026-03-24T05:13:10.230Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:10.235Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:10.245Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:10.265Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:10.289Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:21.936Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:21.938Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:21.944Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:21.951Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:21.957Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:21.967Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:27.298Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:27.300Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:27.304Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:27.314Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
